编号,拆分任务,直接目标,隐含铺垫目标（推断）,输出要求,要求性质
1.1,建立单日联合调度模型,定义10分钟购电、充电、放电和储电量变量；在供需、功率、容量、效率和日首尾边界约束下最小化购电成本,给问题2—4提供共用的物理与费用模块，使后续扩展只修改必要部分,【公式】目标函数、储能状态递推、供需约束、功率及电量边界、初始条件与日首尾相等条件；变量单位与计量侧定义,明示：数学模型；支撑：统一量纲和变量口径
1.2,求得给定数据下的具体策略,联合求解当天各段购电量与储能充放电，得到可执行、费用尽可能低的方案,验证储能削峰填谷的作用及基础求解流程，为后续模拟提供经过检查的模块,【方案】144段购电、充放电和储电量轨迹；【数值】日购电量、日购电费及可行性检查；【最优性证据】求解状态，适用时报告最优界或间隙,明示：具体策略；支撑：可行性与最优性证据
1.3,展示并保存问题1结果,按表1列指定区间购电及全日汇总，按表2列充放电与边界电量，保存完整策略,建立后续各问共用的报表、单位检查和明细聚合接口,【数值表】表1、表2；【文件】result1.xlsx的计划购电量、充放电量；【图建议】供需与调度时序图、储电量边界图,明示：表格及Excel；建议：额外图形
2.1,构造0:00可用的负载与光伏输入,仅利用当时可获得的历史信息，给当天计划提供未来净负载的估计、区间或情景,把“已有全年实际数据”转化为符合决策时序的数据使用机制，刻画计划不足与过量的来源,【方法/公式】历史窗口、估计方法或情景生成规则；【数值支撑】按时间验证的误差或情景表现；必要时给预测—实际对比图,支撑：题面未指定预测模型，也未强制单独交预测文件
2.2,制定含紧急补救代价的日前计划,每天0:00确定当天计划购电与储能调度，权衡多买的计划费用与少买的高价补购风险,在问题1基础上建立含不确定量与补救成本的决策机制，为问题3判断调整是否有价值提供参照,【公式】计划费、5倍电价紧急费及保供约束；【方案】每天144段初始计划；采用期望或风险目标时说明其定义,明示：每天的计划策略；支撑：不确定量与风险口径
2.3,按实际记录执行并核算紧急购电,按既定执行规则逐时段推进电量状态，出现实际缺口时补购，记录时间段与电量，核算账单,建立能复用于问题3、4的时间顺序模拟器，区分计划值、实际执行值和预测误差,【数值】实际紧急电量、紧急费用、普通计划费、总费、储电量轨迹；【公式】紧急补足及成本核算规则；【检查】无未补足负载、状态不越界,明示：紧急购电结果；支撑：执行规则与检查
2.4,汇总指定日期和完整期间结果,对2025-02-01至12-31的334日给出完整结果，抽取四个指定日按表1—3展示,为问题3、4提供可比较的输出指标、日期范围和明细接口,【数值表】四日的表1、表2和紧急购电表3；【文件】result2.xlsx；【图建议】典型日预测误差—紧急购电图、月度成本构成图,明示：日期、表格与Excel；建议：图形及月度解释
3.1,对齐预报发布时间与目标时刻,将每日4个版本、每版未来24个整点光伏预报，转换为相应决策时刻可用的10分钟输入,防止提前用新预报或用实际值插补预测；为多次滚动决策提供可靠输入,【规则/公式】发布时间、目标时刻、插值或聚合及端点处理；【支撑表】预报与实际匹配；可选按提前量分层的误差图,支撑：正确使用题面已给定预报；不限定插值算法
3.2,根据0:00预报形成原始计划,建立包含未来允许调整和紧急补救的成本结构，在0:00形成当天购电与储能计划，并保留原始版本,形成调整的比较基准和合同计费依据，支持问题3内部的公平对照,【公式】日前目标与信息约束；【方案】每日原始计划；【数值】原计划对应费用，不能用最终值覆盖,明示：0:00计划；支撑：版本保留
3.3,根据日内预报制定调整策略,在6:00、12:00、18:00获得新预报后，基于当前电量和已执行动作调整允许修改的未来时段，计入50%调减规则、1.5倍调增规则及紧急费,形成可循环运行的反馈调度机制，分析“提前调整”与“等到紧急补购”的代价差异,【公式】调整变量、费用、已执行部分固定及状态衔接；【方案】各次内部调整记录和最终有效调度；【数值】调整费、紧急费和总费,明示：调整模型与策略；支撑：结算和执行口径
